FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,AM1,AM2,AM3,AM4,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP,final1,final2
1,0.1111111111111111,0.06329113924050632,0.136986301369863,0.11594202898550725,1.0,0.4,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.2,-0.6,0.6,0.6,-10.0,0.0,1.0
0,0.04938271604938271,0.0759493670886076,0.0684931506849315,0.043478260869565216,1.0,1.0,3,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,-0.2,0.6,0.0,0.0,16.0,1.0,0.0
1,0.08641975308641975,0.18987341772151897,0.0547945205479452,0.08695652173913042,1.4,2.4,0,1,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0.6,1.8,-1.0,-1.0,4.0,0.0,1.0
1,0.08641975308641975,0.02531645569620253,0.0684931506849315,0.10144927536231883,1.4,0.4,0,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0.4,-1.0,1.0,1.0,-14.0,0.0,1.0
1,0.12345679012345677,0.08860759493670886,0.0821917808219178,0.08695652173913042,1.5,1.1666666666666667,3,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,-1.0,0.0,1.0
0,0.19753086419753085,0.05063291139240506,0.0958904109589041,0.05797101449275361,2.1666666666666665,1.6666666666666667,0,3,3,3,1,3,3,0,1,0,0,0,0,0,0,0,1.5,0.0,0.5,0.5,-5.0,1.0,0.0
0,0.09876543209876544,0.1139240506329114,0.136986301369863,0.11594202898550725,0.8333333333333334,1.3333333333333333,3,0,0,1,3,3,0,1,0,0,0,0,0,0,0,0,-0.3333333333333333,0.16666666666666666,-0.5,-0.5,0.0,1.0,0.0
1,0.08641975308641975,0.10126582278481013,0.0958904109589041,0.07246376811594203,1.0,1.3333333333333333,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0.0,0.5,-0.3333333333333333,-0.3333333333333333,14.0,0.0,1.0
1,0.08641975308641975,0.13924050632911392,0.1095890410958904,0.18840579710144928,1.0,0.8333333333333334,1,1,3,1,1,3,1,0,0,0,0,0,0,0,0,0,-0.16666666666666666,-0.3333333333333333,0.16666666666666666,0.16666666666666666,-1.0,0.0,1.0
0,0.1111111111111111,0.1139240506329114,0.1095890410958904,0.11594202898550725,0.8333333333333334,1.1666666666666667,1,3,0,0,3,0,1,3,0,0,0,0,0,0,0,0,0.16666666666666666,0.16666666666666666,-0.3333333333333333,-0.3333333333333333,-15.0,1.0,0.0
0,0.1111111111111111,0.0379746835443038,0.0410958904109589,0.15942028985507245,1.6666666666666667,0.6666666666666666,3,3,3,0,0,1,3,1,0,0,0,0,0,0,0,0,1.0,-1.3333333333333333,1.0,1.0,0.0,1.0,0.0
1,0.061728395061728385,0.10126582278481013,0.0821917808219178,0.08695652173913042,0.6666666666666666,1.5,0,0,1,0,1,1,3,3,0,0,0,0,1,0,0,0,-0.16666666666666666,0.3333333333333333,-0.8333333333333334,-0.8333333333333334,-5.0,0.0,1.0
0,0.037037037037037035,0.012658227848101266,0.0958904109589041,0.05797101449275361,0.8333333333333334,0.5,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.6666666666666666,-0.5,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0
0,0.04938271604938271,0.06329113924050632,0.0684931506849315,0.15942028985507245,0.8333333333333334,0.5,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.16666666666666666,-1.0,0.3333333333333333,0.3333333333333333,-7.0,1.0,0.0
1,0.04938271604938271,0.1518987341772152,0.0958904109589041,0.10144927536231883,1.4285714285714286,1.5714285714285714,1,1,3,3,3,0,0,1,0,0,0,0,0,0,0,0,-0.42857142857142855,0.7142857142857143,-0.14285714285714285,-0.14285714285714285,1.0,0.0,1.0
0,0.1111111111111111,0.12658227848101267,0.1506849315068493,0.14492753623188406,0.8571428571428571,1.1428571428571428,1,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,-0.2857142857142857,0.0,-0.2857142857142857,-0.7142857142857143,1.0,1.0,0.0
1,0.1111111111111111,0.012658227848101266,0.136986301369863,0.11594202898550725,1.1428571428571428,0.42857142857142855,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.14285714285714285,-1.0,0.7142857142857143,0.5714285714285714,0.0,0.0,1.0
0,0.09876543209876544,0.08860759493670886,0.1232876712328767,0.10144927536231883,1.0,1.1428571428571428,0,1,1,3,3,3,1,1,0,0,0,0,0,0,0,0,-0.14285714285714285,0.0,-0.14285714285714285,-0.42857142857142855,-11.0,1.0,0.0
0,0.061728395061728385,0.06329113924050632,0.0821917808219178,0.07246376811594203,0.7142857142857143,1.1428571428571428,0,0,0,1,3,0,1,3,0,0,0,0,0,0,0,0,-0.14285714285714285,0.0,-0.42857142857142855,-0.5714285714285714,2.0,1.0,0.0
1,0.09876543209876544,0.06329113924050632,0.0821917808219178,0.17391304347826084,1.4285714285714286,0.42857142857142855,0,1,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0.2857142857142857,-1.0,1.0,0.5714285714285714,0.0,0.0,1.0
0,0.2345679012345679,0.13924050632911392,0.0958904109589041,0.10144927536231883,2.2857142857142856,1.4285714285714286,3,0,3,3,0,3,0,0,1,0,0,0,0,0,0,0,1.7142857142857142,0.5714285714285714,0.8571428571428571,0.8571428571428571,-2.0,1.0,0.0
0,0.13580246913580246,0.1518987341772152,0.1232876712328767,0.2028985507246377,1.1428571428571428,0.8571428571428571,3,1,3,0,0,1,3,1,0,0,0,0,0,0,0,0,0.2857142857142857,-0.2857142857142857,0.2857142857142857,0.42857142857142855,-6.0,1.0,0.0
0,0.09876543209876544,0.13924050632911392,0.0958904109589041,0.05797101449275361,1.1428571428571428,1.8571428571428568,0,1,0,1,3,3,3,3,0,0,0,0,0,0,0,0,0.14285714285714285,1.0,-0.7142857142857143,-1.1428571428571428,-14.0,1.0,0.0
0,0.12345679012345677,0.05063291139240506,0.136986301369863,0.18840579710144928,1.0,0.5714285714285714,1,3,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0.0,-1.2857142857142858,0.42857142857142855,0.42857142857142855,-1.0,1.0,0.0
1,0.13580246913580246,0.13924050632911392,0.1232876712328767,0.15942028985507245,1.25,1.125,1,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0.25,0.0,0.125,0.125,-16.0,0.0,1.0
1,0.037037037037037035,0.1518987341772152,0.136986301369863,0.14492753623188406,0.5,1.25,0,1,0,0,3,1,3,0,0,0,0,0,0,0,0,0,-0.875,0.25,-0.75,-0.375,1.0,0.0,1.0
1,0.12345679012345677,0.26582278481012656,0.1643835616438356,0.10144927536231883,1.0,2.375,1,3,3,0,3,3,0,3,0,0,0,0,0,0,0,0,-0.25,1.75,-1.375,-0.625,17.0,0.0,1.0
0,0.16049382716049382,0.05063291139240506,0.2191780821917808,0.13043478260869565,0.75,1.25,1,0,1,3,1,1,1,3,0,0,0,0,0,0,0,0,-0.375,-0.625,-0.5,-0.25,2.0,1.0,0.0
0,0.1728395061728395,0.1139240506329114,0.0958904109589041,0.10144927536231883,1.75,1.375,3,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.875,0.25,0.375,0.375,1.0,1.0,0.0
0,0.08641975308641975,0.13924050632911392,0.1917808219178082,0.17391304347826084,0.5,1.125,0,1,0,1,0,1,3,3,0,0,0,0,0,0,0,0,-0.875,-0.125,-0.625,-0.625,0.0,1.0,0.0
0,0.13580246913580246,0.10126582278481013,0.0684931506849315,0.10144927536231883,1.625,1.0,1,3,3,3,3,0,0,0,1,0,0,0,0,0,0,0,0.75,0.125,0.625,0.75,5.0,1.0,0.0
1,0.04938271604938271,0.12658227848101267,0.2054794520547945,0.14492753623188406,0.5,1.25,1,1,0,1,3,0,1,1,0,0,0,0,0,0,0,0,-1.375,0.0,-0.75,-0.375,11.0,0.0,1.0
