FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP
H,0.13,0.11458333333333333,0.1686746987951807,0.12658227848101267,1.0909090909090908,1.3636363636363635,L,D,W,D,D,L,D,W,W,L,0,0,0,0,0,0,0,0,-0.09090909090909091,0.09090909090909091,-0.2727272727272727,-0.09090909090909091,10.0
NH,0.12,0.09375,0.13253012048192772,0.16455696202531644,1.0909090909090908,1.0909090909090908,W,L,L,D,D,D,L,D,L,W,0,0,0,0,0,0,0,0,0.09090909090909091,-0.36363636363636365,0.0,0.0,6.0
H,0.22,0.10416666666666667,0.14457831325301204,0.20253164556962025,1.8181818181818181,0.8181818181818182,W,W,D,D,D,W,L,D,L,L,0,0,0,0,0,0,0,0,0.9090909090909091,-0.5454545454545454,1.0,0.45454545454545453,-13.0
H,0.09,0.10416666666666667,0.14457831325301204,0.17721518987341772,1.0909090909090908,0.9090909090909091,L,W,D,D,D,L,L,L,W,W,0,0,0,0,0,0,0,0,-0.2727272727272727,-0.36363636363636365,0.18181818181818182,0.0,2.0
NH,0.22,0.19791666666666666,0.12048192771084337,0.17721518987341772,1.8181818181818181,1.2727272727272727,W,W,W,L,L,W,W,D,L,L,0,0,0,0,0,0,0,0,1.0909090909090908,0.45454545454545453,0.5454545454545454,0.18181818181818182,-15.0
H,0.1,0.28125,0.1686746987951807,0.0379746835443038,1.0909090909090908,2.272727272727273,W,W,L,L,D,W,W,D,W,L,0,0,0,0,0,0,0,0,-0.36363636363636365,2.1818181818181817,-1.1818181818181819,-0.2727272727272727,6.0
NH,0.14,0.13541666666666666,0.20481927710843373,0.12658227848101267,1.3636363636363635,1.5454545454545454,L,W,D,D,W,L,L,W,W,W,0,0,0,0,1,0,0,0,-0.2727272727272727,0.2727272727272727,-0.18181818181818182,-0.09090909090909091,13.0
H,0.1,0.125,0.1927710843373494,0.17721518987341772,0.8333333333333334,1.0,L,L,L,L,W,D,D,W,L,L,0,0,0,0,0,0,0,0,-0.5,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,2.0
NH,0.13,0.11458333333333333,0.1686746987951807,0.1518987341772152,1.25,1.25,L,L,D,W,W,W,L,W,D,D,0,0,0,0,0,0,0,0,-0.08333333333333333,-0.08333333333333333,0.0,-0.08333333333333333,-9.0
H,0.1,0.17708333333333334,0.1686746987951807,0.2911392405063291,1.0833333333333333,1.1666666666666667,D,D,L,D,L,D,W,L,L,W,0,0,0,0,0,0,0,0,-0.3333333333333333,-0.5,-0.08333333333333333,-0.3333333333333333,-12.0
